cell_id,POS,label,language_id
1.sg.3.sg.fut.neg,verb,1SG>3SG.FUT.NEG,vaiphei
1.sg.3.sg.nfut.aff,verb,1SG>3SG.NFUT.AFF,vaiphei
1.sg.3.sg.nfut.neg,verb,1SG>3SG.NFUT.NEG,vaiphei
1.sg.fut.aff,verb,1SG.FUT.AFF,vaiphei
1.sg.fut.neg,verb,1SG.FUT.NEG,vaiphei
1.sg.nfut.aff,verb,1SG.NFUT.AFF,vaiphei
1.sg.nfut.neg,verb,1SG.NFUT.NEG,vaiphei
2.pl.1.pl.excl.fut.aff,verb,2PL>1PL.EXCL.FUT.AFF,vaiphei
2.pl.1.pl.excl.fut.neg,verb,2PL>1PL.EXCL.FUT.NEG,vaiphei
2.pl.1.pl.excl.nfut.aff,verb,2PL>1PL.EXCL.NFUT.AFF,vaiphei
2.pl.1.pl.excl.nfut.neg,verb,2PL>1PL.EXCL.NFUT.NEG,vaiphei
2.pl.1.sg.fut.aff,verb,2PL>1SG.FUT.AFF,vaiphei
2.pl.1.sg.fut.neg,verb,2PL>1SG.FUT.NEG,vaiphei
2.pl.1.sg.nfut.aff,verb,2PL>1SG.NFUT.AFF,vaiphei
2.pl.1.sg.nfut.neg,verb,2PL>1SG.NFUT.NEG,vaiphei
2.pl.3.pl.fut.aff,verb,2PL>3PL.FUT.AFF,vaiphei
2.pl.3.pl.fut.neg,verb,2PL>3PL.FUT.NEG,vaiphei
2.pl.3.pl.nfut.aff,verb,2PL>3PL.NFUT.AFF,vaiphei
2.pl.3.pl.nfut.neg,verb,2PL>3PL.NFUT.NEG,vaiphei
2.pl.3.sg.fut.aff,verb,2PL>3SG.FUT.AFF,vaiphei
2.pl.3.sg.fut.neg,verb,2PL>3SG.FUT.NEG,vaiphei
2.pl.3.sg.nfut.aff,verb,2PL>3SG.NFUT.AFF,vaiphei
2.pl.3.sg.nfut.neg,verb,2PL>3SG.NFUT.NEG,vaiphei
2.pl.fut.aff,verb,2PL.FUT.AFF,vaiphei
2.pl.fut.neg,verb,2PL.FUT.NEG,vaiphei
2.pl.nfut.aff,verb,2PL.NFUT.AFF,vaiphei
2.pl.nfut.neg,verb,2PL.NFUT.NEG,vaiphei
2.sg.1.pl.excl.fut.aff,verb,2SG>1PL.EXCL.FUT.AFF,vaiphei
2.sg.1.pl.excl.fut.neg,verb,2SG>1PL.EXCL.FUT.NEG,vaiphei
2.sg.1.pl.excl.nfut.aff,verb,2SG>1PL.EXCL.NFUT.AFF,vaiphei
2.sg.1.pl.excl.nfut.neg,verb,2SG>1PL.EXCL.NFUT.NEG,vaiphei
2.sg.1.sg.fut.aff,verb,2SG>1SG.FUT.AFF,vaiphei
2.sg.1.sg.fut.neg,verb,2SG>1SG.FUT.NEG,vaiphei
2.sg.1.sg.nfut.aff,verb,2SG>1SG.NFUT.AFF,vaiphei
2.sg.1.sg.nfut.neg,verb,2SG>1SG.NFUT.NEG,vaiphei
2.sg.3.pl.fut.aff,verb,2SG>3PL.FUT.AFF,vaiphei
2.sg.3.pl.fut.neg,verb,2SG>3PL.FUT.NEG,vaiphei
2.sg.3.pl.nfut.aff,verb,2SG>3PL.NFUT.AFF,vaiphei
2.sg.3.pl.nfut.neg,verb,2SG>3PL.NFUT.NEG,vaiphei
2.sg.3.sg.fut.aff,verb,2SG>3SG.FUT.AFF,vaiphei
2.sg.3.sg.fut.neg,verb,2SG>3SG.FUT.NEG,vaiphei
2.sg.3.sg.nfut.aff,verb,2SG>3SG.NFUT.AFF,vaiphei
2.sg.3.sg.nfut.neg,verb,2SG>3SG.NFUT.NEG,vaiphei
2.sg.fut.aff,verb,2SG.FUT.AFF,vaiphei
2.sg.fut.neg,verb,2SG.FUT.NEG,vaiphei
2.sg.nfut.aff,verb,2SG.NFUT.AFF,vaiphei
2.sg.nfut.neg,verb,2SG.NFUT.NEG,vaiphei
3.pl.1.pl.excl.fut.aff,verb,3PL>1PL.EXCL.FUT.AFF,vaiphei
3.pl.1.pl.excl.fut.neg,verb,3PL>1PL.EXCL.FUT.NEG,vaiphei
3.pl.1.pl.excl.nfut.aff,verb,3PL>1PL.EXCL.NFUT.AFF,vaiphei
