form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,paradigm_tag,overabundance_tag,source,page,language_id
vaiphei074,chia,1.pl.incl.fut.neg,chia puai tiu,Σ puai tiu,Σ+pua+i+ti+u,Σ p ua i t i u,Σ + p ua + i + t i + u,unspecified,pua_neg; hort,,Reich2026Vaiphei,nopage,vaiphei
vaiphei075,mu,1.sg.2.sg.fut.neg,hun mu lo di kahi,hun Σ lo di kahi,hun+Σ+lo+di+ka+hi,h u n Σ l ou d i k a h i,h u n + Σ + l ou + d i + k a + h i,unspecified,lou_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei076,mu,1.sg.2.sg.fut.neg,hun mu puang ka,hun Σ puang ka,hun+Σ+pua+ng+ka,h u n Σ p ua ŋ k a,h u n + Σ + p ua + ŋ + k a,unspecified,pua_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei077,mu,1.sg.2.sg.fut.neg,mu lo di kahi,Σ lo di kahi,Σ+lo+di+ka+hi,Σ l ou d i k a h i,Σ + l ou + d i + k a + h i,unspecified,lou_neg,optional_hun,Reich2026Vaiphei,nopage,vaiphei
vaiphei078,mu,1.sg.2.sg.fut.neg,mu puang ka,Σ puang ka,Σ+pua+ng+ka,Σ p ua ŋ k a,Σ + p ua + ŋ + k a,unspecified,pua_neg,optional_hun,Reich2026Vaiphei,nopage,vaiphei
vaiphei079,mu,1.sg.2.pl.fut.neg,hun mu lo di kahi,hun Σ lo di kahi,hun+Σ+lo+di+ka+hi,h u n Σ l ou d i k a h i,h u n + Σ + l ou + d i + k a + h i,unspecified,lou_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei080,mu,1.sg.2.pl.fut.neg,hun mu puang ka,hun Σ puang ka,hun+Σ+pua+ng+ka,h u n Σ p ua ŋ k a,h u n + Σ + p ua + ŋ + k a,unspecified,pua_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei081,mu,1.sg.2.pl.fut.neg,mu lo di kahi,Σ lo di kahi,Σ+lo+di+ka+hi,Σ l ou d i k a h i,Σ + l ou + d i + k a + h i,unspecified,lou_neg,optional_hun,Reich2026Vaiphei,nopage,vaiphei
vaiphei082,mu,1.sg.2.pl.fut.neg,mu puang ka,Σ puang ka,Σ+pua+ng+ka,Σ p ua ŋ k a,Σ + p ua + ŋ + k a,unspecified,pua_neg,optional_hun,Reich2026Vaiphei,nopage,vaiphei
vaiphei083,mu,1.sg.3.pl.fut.neg,mu lo di kahi,Σ lo di kahi,Σ+lo+di+ka+hi,Σ l ou d i k a h i,Σ + l ou + d i + k a + h i,unspecified,lou_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei084,mu,1.sg.3.pl.fut.neg,mu puang ka,Σ puang ka,Σ+pua+ng+ka,Σ p ua ŋ k a,Σ + p ua + ŋ + k a,unspecified,pua_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei085,mu,1.pl.excl.2.sg.fut.neg,hun mu lo di kahiu,hun Σ lo di kahiu,hun+Σ+lo+di+ka+hi+u,h u n Σ l ou d i k a h i u,h u n + Σ + l ou + d i + k a + h i + u,unspecified,lou_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei086,mu,1.pl.excl.2.sg.fut.neg,hun mu puang kau,hun Σ puang kau,hun+Σ+pua+ng+ka+u,h u n Σ p ua ŋ k a u,h u n + Σ + p ua + ŋ + k a + u,unspecified,pua_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei087,mu,1.pl.excl.2.sg.fut.neg,mu lo di kahiu,Σ lo di kahiu,Σ+lo+di+ka+hi+u,Σ l ou d i k a h i u,Σ + l ou + d i + k a + h i + u,unspecified,lou_neg,optional_hun,Reich2026Vaiphei,nopage,vaiphei
vaiphei088,mu,1.pl.excl.2.sg.fut.neg,mu puang kau,Σ puang kau,Σ+pua+ng+ka+u,Σ p ua ŋ k a u,Σ + p ua + ŋ + k a + u,unspecified,pua_neg,optional_hun,Reich2026Vaiphei,nopage,vaiphei
vaiphei089,mu,1.pl.excl.2.pl.fut.neg,hun mu lo di kahiu,hun Σ lo di kahiu,hun+Σ+lo+di+ka+hi+u,h u n Σ l ou d i k a h i u,h u n + Σ + l ou + d i + k a + h i + u,unspecified,lou_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei090,mu,1.pl.excl.2.pl.fut.neg,hun mu puang kau,hun Σ puang kau,hun+Σ+pua+ng+ka+u,h u n Σ p ua ŋ k a u,h u n + Σ + p ua + ŋ + k a + u,unspecified,pua_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei091,mu,1.pl.excl.2.pl.fut.neg,mu lo di kahiu,Σ lo di kahiu,Σ+lo+di+ka+hi+u,Σ l ou d i k a h i u,Σ + l ou + d i + k a + h i + u,unspecified,lou_neg,optional_hun,Reich2026Vaiphei,nopage,vaiphei
vaiphei092,mu,1.pl.excl.2.pl.fut.neg,mu puang kau,Σ puang kau,Σ+pua+ng+ka+u,Σ p ua ŋ k a u,Σ + p ua + ŋ + k a + u,unspecified,pua_neg,optional_hun,Reich2026Vaiphei,nopage,vaiphei
vaiphei093,mu,1.sg.3.sg.fut.neg,mu lo di kahi,Σ lo di kahi,Σ+lo+di+ka+hi,Σ l ou d i k a h i,Σ + l ou + d i + k a + h i,unspecified,lou_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei094,mu,1.sg.3.sg.fut.neg,mu puang ka,Σ puang ka,Σ+pua+ng+ka,Σ p ua ŋ k a,Σ + p ua + ŋ + k a,unspecified,pua_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei095,mu,1.pl.excl.3.sg.fut.neg,mu lo di kahiu,Σ lo di kahiu,Σ+lo+di+ka+hi+u,Σ l ou d i k a h i u,Σ + l ou + d i + k a + h i + u,unspecified,lou_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei096,mu,1.pl.excl.3.sg.fut.neg,mu puang kau,Σ puang kau,Σ+pua+ng+ka+u,Σ p ua ŋ k a u,Σ + p ua + ŋ + k a + u,unspecified,pua_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei097,mu,1.pl.incl.3.sg.fut.neg,mu lo di ihiu,Σ lo di ihiu,Σ+lo+di+i+hi+u,Σ l ou d i i h i u,Σ + l ou + d i + i + h i + u,unspecified,lou_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei098,mu,1.pl.incl.3.sg.fut.neg,mu puai tiu,Σ puai tiu,Σ+pua+i+ti+u,Σ p ua i t i u,Σ + p ua + i + t i + u,unspecified,pua_neg; hort,,Reich2026Vaiphei,nopage,vaiphei
vaiphei099,mu,1.pl.excl.3.pl.fut.neg,mu lo di kahiu,Σ lo di kahiu,Σ+lo+di+ka+hi+u,Σ l ou d i k a h i u,Σ + l ou + d i + k a + h i + u,unspecified,lou_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei100,mu,1.pl.excl.3.pl.fut.neg,mu puang kau,Σ puang kau,Σ+pua+ng+ka+u,Σ p ua ŋ k a u,Σ + p ua + ŋ + k a + u,unspecified,pua_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei101,mu,1.pl.incl.3.pl.fut.neg,mu lo di ihiu,Σ lo di ihiu,Σ+lo+di+i+hi+u,Σ l ou d i i h i u,Σ + l ou + d i + i + h i + u,unspecified,lou_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei102,mu,1.pl.incl.3.pl.fut.neg,mu puai tiu,Σ puai tiu,Σ+pua+i+ti+u,Σ p ua i t i u,Σ + p ua + i + t i + u,unspecified,pua_neg; hort,,Reich2026Vaiphei,nopage,vaiphei
vaiphei103,chia,2.sg.fut.neg,chia lo di lahi,Σ lo di lahi,Σ+lo+di+la+hi,Σ l ou d i l a h i,Σ + l ou + d i + l a + h i,unspecified,lou_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei104,chia,2.sg.fut.neg,chia puan la,Σ puan la,Σ+pua+n+la,Σ p ua n l a,Σ + p ua + n + l a,unspecified,pua_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei105,chia,2.pl.fut.neg,chia lo di lahiu,Σ lo di lahiu,Σ+lo+di+la+hi+u,Σ l ou d i l a h i u,Σ + l ou + d i + l a + h i + u,unspecified,lou_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei106,chia,2.pl.fut.neg,chia puan lau,Σ puan lau,Σ+pua+n+la+u,Σ p ua n l a u,Σ + p ua + n + l a + u,unspecified,pua_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei107,mu,2.sg.1.sg.fut.neg,ei hun mu lo di lahi,ei hun Σ lo di lahi,ei+hun+Σ+lo+di+la+hi,ei h u n Σ l ou d i l a h i,ei + h u n + Σ + l ou + d i + l a + h i,unspecified,lou_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei108,mu,2.sg.1.sg.fut.neg,ei hun mu puan la,ei hun Σ puan la,ei+hun+Σ+pua+n+la,ei h u n Σ p ua n l a,ei + h u n + Σ + p ua + n + l a,unspecified,pua_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei109,mu,2.sg.1.sg.fut.neg,ei mu lo di lahi,ei Σ lo di lahi,ei+Σ+lo+di+la+hi,ei Σ l ou d i l a h i,ei + Σ + l ou + d i + l a + h i,unspecified,lou_neg,optional_hun,Reich2026Vaiphei,nopage,vaiphei
vaiphei110,mu,2.sg.1.sg.fut.neg,ei mu puan la,ei Σ puan la,ei+Σ+pua+n+la,ei Σ p ua n l a,ei + Σ + p ua + n + l a,unspecified,pua_neg,optional_hun,Reich2026Vaiphei,nopage,vaiphei
vaiphei111,mu,2.sg.1.pl.excl.fut.neg,ei hun mu lo di lahi,ei hun Σ lo di lahi,ei+hun+Σ+lo+di+la+hi,ei h u n Σ l ou d i l a h i,ei + h u n + Σ + l ou + d i + l a + h i,unspecified,lou_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei112,mu,2.sg.1.pl.excl.fut.neg,ei hun mu puan la,ei hun Σ puan la,ei+hun+Σ+pua+n+la,ei h u n Σ p ua n l a,ei + h u n + Σ + p ua + n + l a,unspecified,pua_neg,,Reich2026Vaiphei,nopage,vaiphei
vaiphei113,mu,2.sg.1.pl.excl.fut.neg,ei mu lo di lahi,ei Σ lo di lahi,ei+Σ+lo+di+la+hi,ei Σ l ou d i l a h i,ei + Σ + l ou + d i + l a + h i,unspecified,lou_neg,optional_hun,Reich2026Vaiphei,nopage,vaiphei
