grapheme_id,language_id
-,vaiphei
a,vaiphei
ch,vaiphei
d,vaiphei
e,vaiphei
ei,vaiphei
h,vaiphei
i,vaiphei
ia,vaiphei
k,vaiphei
l,vaiphei
m,vaiphei
n,vaiphei
ng,vaiphei
o,vaiphei
p,vaiphei
t,vaiphei
u,vaiphei
ua,vaiphei
Σ,vaiphei
